,UserID,Games,Playtime,Recommended Games,Predicted,MAE,RMSE,Accuracy
0,136866564,"BioShock Infinite,Dota 2,Thief,Toribash,Warface","4.6,0.1,4.1,0.1,2.2","Child Phobia: Nightcoming Fears,Super Bomberman R,Heroes of Normandie,140,Space Beast Terror Fright","3.123280326230802,1.8802637235407238,2.4197886664077797,1.7806371384542197,1.9868916202825704",1.366188049814758,1.4861430899103363,0.0
1,103890656,"Battle Islands,Dota 2,Free to Play,Stronghold Kingdoms,War Thunder,Warframe","0.1,706.0,0.1,0.1,0.1,0.1","Mutant Year Zero: Road to Eden,Tennis Elbow 2013,Solaright,Fishing Planet,Mowin' & Throwin',The Crooked Man","103.802792146595,353.8140898674652,30.800805346961216,280.73720739128373,166.9444243861367,78.15480245800637",168.68765697691964,203.47750905677998,0.0
2,22627659,"DEFCON,Half-Life 2,Psychonauts,Shadowgrounds,Silent Hill Homecoming","0.1,0.1,0.1,0.1,1.9","The Council - Episode 5: Checkmate,Rayon Riddles - Rise of the Goblin King,Fate/EXTELLA LINK,Indie Pogo: Prisonbreak Zorbie Skin,Agatha Christie: The ABC Murders Demo","0.28071562738037764,0.23899999130589708,0.2765797564357558,0.42752616828392903,0.8304921304754695",0.37866588258609796,0.5165810720169848,0.0
3,67694595,"Alien Swarm,Anomaly 2,ArcheAge,Bastion,Borderlands 2,Closure,Company of Heroes,Dead Space,Dota 2,Dungeon Defenders II,Dying Light,Game Dev Tycoon,Goat Simulator,Heroes of Might & Magic V,Insurgency,Korwin The Game,Left 4 Dead 2,Magicka,PAYDAY 2,Path of Exile,PlanetSide 2,Portal 2,Snapshot,Sniper Elite V2,Super Meat Boy,Team Fortress 2,The Binding of Isaac,The Incredible Adventures of Van Helsing II,Torchlight,Torchlight II,Warframe,Warlock - Master of the Arcane,Worms Armageddon,Worms Blast,Worms Crazy Golf,Worms Pinball,Worms Ultimate Mayhem","1.6,0.3,0.5,1.9,10.5,0.1,0.1,0.1,5608.0,0.1,30.0,19.1,0.4,0.8,0.1,1.6,7.0,21.0,71.0,337.0,6.2,11.4,0.1,0.1,0.1,13.0,2.1,11.7,23.0,47.0,4.0,0.1,1.9,0.1,0.1,0.1,0.1","Blades of Time,Renegade Ops - Coldstrike Campaign,Elo Hell,LEGO® DC Super-Villains,Shovel Knight: Treasure Trove,Awesomenauts - Admiral Swiggins, PHD Skin,Onechanbara Z2: Chaos,Sniper Elite: Nazi Zombie Army,Tennis Elbow 2013,Tactical AR,rFactor 2,The Ranger: Lost Tribe,Argo,DUSK,Space Food Truck,Guan Suo - Officer Ticket / 関索使用券,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,Knightfall,Pigeons Attack,Hacktag,Pro Basketball Manager 2019,Just Shapes & Beats,Animosity,World of Warships - Smith Steam Edition,SRPG Studio Desert Background,Ghostly Horizon,Tower Wars,Nonogram - The Greatest Painter,Lost Lands: Ice Spell,RIDE 3 - Free Pack 2,The Boogie Man,Supreme Ruler The Great War,Age of Fear 3: The Legend,Lost Shipwreck,Antihero,Mystery Stone from Heaven,Clash of Magic VR","272.3840659210169,322.2151053610172,148.38793439951968,301.63155301506674,148.11306116677702,213.6055516189127,180.81447047433196,288.79320141246626,425.64221168343937,251.52381068453343,516.9700213800519,228.81825677387144,368.3794401774301,173.19035993328987,267.78574662512244,182.14872125395843,139.41689568816227,106.62858756601733,326.4901071832216,324.73293451891186,363.4670305010064,321.14123035114454,215.00443158836055,350.3977665293756,0.23715425875874677,292.1968592105606,293.17996006147644,163.0657402864018,211.0274791551896,393.50062875995,153.44861730518707,301.8024932526807,199.19168491943495,201.96564887776478,277.3042468125125,159.55181534020204,261.23028986689735",364.92796814890056,887.2519880163818,0.0
4,125472731,"APB Reloaded,Mafia II,Neverwinter,PlanetSide 2,Unturned,War Thunder,Warframe","0.1,4.7,0.1,0.1,0.1,0.1,0.1","Age of Fear 3: The Legend,The Turing Test,Space Engineers,Motorsport Manager - GT Series,Wanderlust: Rebirth,Voxel Bot,The Sand Man","0.7519956495964377,1.4841175350171245,0.7987712717282969,0.5203858660578173,0.7785276821146462,0.8804608107352635,0.8114747409016555",1.022499783730999,1.3631748196073898,0.0
5,227777777,"APB Reloaded,Dota 2,Heroes & Generals,Warface,Warframe","0.1,61.0,0.1,0.1,1.6","Faeria,Tennis Elbow 2013,Lords Of The Fallen™,Containment Initiative,The Boogie Man","13.285576744325,26.112826180099727,7.881755235840495,23.709458580320618,9.17546818576262",17.4078865132298,20.32891683518985,0.0
6,279406744,"BLOCKADE 3D,Dota 2,Free to Play,Unturned,Warframe","0.1,37.0,0.1,0.1,0.1","Monster Energy Supercross 2 - Outfit starting pack,Tennis Elbow 2013,Solaright,Wanderlust: Rebirth,The Crooked Man","12.096945647202494,14.370289625530996,1.6325558141415197,9.675676483578883,5.391526086752144",10.205282881228808,12.474558527360271,0.0
7,159595237,"Dota 2,Left 4 Dead 2,Warframe","0.5,13.3,143.0","8-Bit Armies,World to the West,The Boogie Man","33.85516391124666,59.924429471220925,89.33146309123825",44.54937676374311,45.33841725288503,0.0
8,93275329,"404Sight,AdVenture Capitalist,Anarchy Arcade,Aura Kingdom,BioShock Infinite,BioShock Infinite - Season Pass,Clicker Heroes,Cry of Fear,Dev Guy,Dota 2,Eternal Senia,FEZ,Famaze,Far Cry 3,Garry's Mod,Grand Theft Auto III,Grand Theft Auto IV,Half-Life 2,Just Cause 2,Kung Fury,L.A. Noire,Left 4 Dead 2,NEOTOKYO,Out There Somewhere,PAYDAY 2,PlanetSide 2,Portal,Portal 2,Pox Nora,RACE 07,Race The Sun,Really Big Sky,Realm of the Mad God,Robocraft,Saints Row 2,Saints Row IV,Shadow Warrior Classic (1997),Skullgirls,Sleeping Dogs,Sniper Elite V2,Sonic CD,Spiral Knights,Super Sanctum TD,Synergy,Tales Runner,Team Fortress 2,Teeworlds,To the Moon,Tomb Raider,Unturned,WAKFU,You Have to Win the Game","0.1,0.1,0.1,49.0,0.1,7.2,0.1,0.1,4.0,0.1,0.1,0.1,93.0,49.0,0.3,20.0,104.0,12.0,0.1,0.6,8.3,0.1,0.3,15.6,2.6,22.0,74.0,0.1,0.1,0.1,0.1,1.9,0.1,0.1,18.4,0.1,15.1,35.0,3.9,1.4,2.2,0.1,8.5,0.1,16.0,0.3,0.8,10.7,1.3,2.1,0.1","Borderlands: The Pre-Sequel Season Pass,Terrorhedron Tower Defense,Ys I & II Chronicles+,Pavlov VR,Strike Force Remastered,Lichdom: Battlemage,ColorTool,Apparition,Super Mega Baseball 2,Neon Boost,20XX - Hawk Character DLC,Total War: WARHAMMER II - Curse of the Vampire Coast,Capsella The Lights of Lucern,Music Boy 3D,Octahedron: Transfixed Edition,Serious Sam Classic: The Second Encounter,Dead Realm,Loot Hunter,The Poisoner (Demo),Chaos on Deponia,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,Tales from the Void,Macroboy Y,Save Your Nuts,Pixel Puzzles Mosaics,Tales of Berseria™,Shotgun Legend,The Lost Gardens,Deep Rock Galactic,UpBreakers,Outrunner 3,RESIDENT EVIL 2 / BIOHAZARD RE:2,INVITATION,ELASH,Sniper: Ghost Warrior 2,Robo Boop,Tabletop Simulator,Starlaxis Supernova Edition,Armored Warfare,Sonic Forces,Star Trek Online,Boruto: Naruto The Movie,JUMPER : SPEEDRUN,Star Drift,Onirism,Bane of Asphodel,Shining Resonance Refrain,We Were Here,Wanderlust: Rebirth,Witch It,旧手表 - 原声音乐集 (original soundtrack)","13.281974691638123,13.751680936870752,13.95962570035566,14.770309327163226,12.908003651590752,15.118275236607838,16.783315738226257,14.033772078585901,13.627103883027644,14.428439860111036,12.743494676757248,11.740163385885007,14.285201914642657,15.561892064131612,15.273068106534366,14.672196113794557,15.307683599681184,13.135959351876894,11.962886912218309,14.248685675356635,14.640870737565875,13.420429469204343,12.935284274441598,14.537834732826274,13.054938529987634,15.036866377278121,15.89881551362879,14.683730530841517,14.486101325883162,14.652541191636782,12.047948254573631,14.137064406462411,13.526691610862004,15.098478152859517,14.198413534527655,19.599769840626376,13.73021546786815,12.939292913613603,12.250665243538004,14.531770907143255,14.152939027476261,13.980848732591502,16.29935635941636,11.675600185885243,14.120543772605416,12.118308541487588,14.007092159351975,14.725609959498772,13.614864123985832,14.345703332731393,10.871544185602264",15.831281090932046,22.76451393277001,0.0
9,201974556,"Elsword,Fishing Planet,Mortal Online,Team Fortress 2,Unturned","0.1,2.1,0.2,4.7,31.0","STAR WARS™ Jedi Knight - Jedi Academy™,Fly and Destroy,FOX n FORESTS,Ghostly Horizon,Wanderlust: Rebirth","6.668099098244372,7.825388063318523,8.718466490309405,12.719172875973399,13.037120150963496",9.358801275376441,10.348492176854966,0.0
